,평균기온,최고기온,최저기온,평균운량,일강수량,대여율,Normalized 대여율,Normalized 최고기온
2020-03-01,5.8,10.1,3.2,8.1,0.2,65.14933333333333,0.13507001327704019,0.27671232876712326
2020-03-02,3.4,7.6,0.0,1.6,0.0,97.70933333333333,0.20968378884025096,0.20821917808219176
2020-03-03,4.8,10.5,0.3,6.5,0.0,105.192,0.22683090220883154,0.2876712328767123
2020-03-04,2.2,4.6,1.3,5.1,0.0,83.384,0.17685617194217002,0.12602739726027395
2020-03-05,1.4,6.3,2.8,0.0,0.0,95.60266666666666,0.20485619811994493,0.17260273972602738
2020-03-06,3.7,10.1,2.5,2.5,0.0,109.05866666666667,0.23569166998660843,0.27671232876712326
2020-03-07,7.0,14.2,1.3,5.4,0.0,113.01066666666667,0.24474798574292933,0.3890410958904109
2020-03-08,9.3,16.9,2.3,0.3,0.0,144.65333333333334,0.31725962053679163,0.46301369863013697
2020-03-09,11.1,17.6,4.8,6.5,0.0,141.38666666666666,0.30977379948315253,0.4821917808219178
2020-03-10,6.4,10.8,3.2,7.5,11.8,28.282666666666668,0.05058717567168489,0.2958904109589041
2020-03-11,3.8,8.3,0.0,0.0,0.0,120.65333333333334,0.26226175157128007,0.2273972602739726
2020-03-12,6.8,13.3,0.2,4.0,0.0,133.584,0.2918933811950318,0.3643835616438356
2020-03-13,4.9,8.7,0.1,6.6,0.5,116.144,0.25192826308009336,0.23835616438356164
2020-03-14,3.6,8.6,2.7,2.1,0.0,113.51733333333334,0.2459090518655346,0.2356164383561644
2020-03-15,4.0,8.5,0.2,3.1,0.0,88.57333333333334,0.18874793338737955,0.2328767123287671
2020-03-16,3.6,9.1,2.1,1.0,0.0,113.176,0.24512685995135844,0.2493150684931507
2020-03-17,6.6,12.3,3.1,4.8,0.0,125.976,0.2744590567329646,0.336986301369863
2020-03-18,10.0,17.0,2.7,0.0,0.0,165.65066666666667,0.3653766450072848,0.4657534246575342
2020-03-19,9.1,12.1,5.8,3.4,0.0,64.68266666666666,0.13400061026937746,0.33150684931506846
2020-03-20,8.8,14.0,3.1,0.4,0.0,143.57066666666665,0.3147786055590141,0.3835616438356164
2020-03-21,12.8,19.5,7.9,6.9,0.0,170.024,0.37539847890766687,0.5342465753424658
2020-03-22,11.0,16.5,6.1,0.1,0.0,171.82933333333332,0.37953554082873925,0.4520547945205479
2020-03-23,10.6,17.0,5.4,0.0,0.0,169.82933333333332,0.37495238508161327,0.4657534246575342
2020-03-24,11.4,17.9,5.3,0.0,0.0,186.66133333333335,0.41352422384942544,0.4904109589041096
2020-03-25,12.5,19.2,6.1,4.0,0.0,195.89333333333335,0.4346800707781589,0.5260273972602739
2020-03-26,14.8,20.6,8.1,6.9,1.8,127.02133333333333,0.2768545194701291,0.5643835616438356
2020-03-27,11.9,15.8,6.7,5.1,2.0,160.488,0.35354599230537026,0.4328767123287671
2020-03-28,7.7,12.8,4.5,5.1,0.0,172.472,0.3810082615421491,0.3506849315068493
2020-03-29,8.7,16.1,1.3,1.5,0.0,182.48,0.4039423729007674,0.4410958904109589
2020-03-30,10.2,16.9,4.3,0.9,0.0,184.78133333333332,0.40921605744712697,0.46301369863013697
2020-03-31,11.9,18.6,4.7,5.5,0.0,198.98933333333332,0.44177479587470986,0.5095890410958904
2020-04-01,11.3,17.4,6.0,3.5,0.0,187.35466666666667,0.4151130511750958,0.4767123287671233
2020-04-02,9.3,15.5,3.4,2.6,0.0,192.344,0.42654649704559267,0.4246575342465753
2020-04-03,10.0,16.3,5.3,1.3,0.0,199.616,0.4432108513421427,0.4465753424657534
2020-04-04,8.9,13.3,5.0,0.8,0.0,177.08,0.3915678523835273,0.3643835616438356
2020-04-05,7.2,13.7,1.9,0.0,0.0,170.96266666666668,0.3775495066716514,0.3753424657534246
2020-04-06,9.3,16.1,2.9,3.5,0.0,182.43733333333333,0.4038445989114954,0.4410958904109589
2020-04-07,10.6,16.8,6.0,2.1,0.0,196.49333333333334,0.4360550175022967,0.4602739726027397
2020-04-08,9.4,14.2,5.2,0.0,0.0,194.30133333333333,0.4310318788034466,0.3890410958904109
2020-04-09,8.9,14.7,4.3,1.3,0.0,195.68533333333335,0.4342034225804578,0.4027397260273972
2020-04-10,10.7,16.8,5.8,4.8,0.0,200.056,0.44421914560651043,0.4602739726027397
2020-04-11,9.9,16.0,6.2,4.8,0.0,201.69866666666667,0.4479834441934832,0.4383561643835616
2020-04-12,9.9,15.6,4.4,3.1,0.0,168.89333333333335,0.37280746819195837,0.42739726027397257
2020-04-13,12.4,20.4,4.3,1.9,0.0,206.944,0.4600035339996122,0.558904109589041
2020-04-14,13.0,19.6,7.6,1.3,0.0,223.46133333333333,0.4978542895965432,0.536986301369863
2020-04-15,13.2,20.2,7.2,5.4,0.0,239.43733333333333,0.5344645377045855,0.5534246575342465
2020-04-16,16.0,23.8,8.9,2.9,0.0,223.92,0.4989053599812174,0.6520547945205479
2020-04-17,12.5,15.4,10.4,9.1,6.5,95.08266666666667,0.20366457762569218,0.42191780821917807
2020-04-18,13.5,19.6,8.5,2.6,0.0,247.544,0.5530415956662694,0.536986301369863
2020-04-19,12.3,15.5,9.5,9.5,10.3,78.33333333333333,0.16528217596209457,0.4246575342465753
2020-04-20,10.0,13.1,7.6,7.4,0.1,149.67733333333334,0.3287725077735721,0.35890410958904106
2020-04-21,7.4,10.4,4.8,3.6,0.0,156.656,0.34476466589387694,0.28493150684931506
2020-04-22,6.0,8.3,4.1,4.1,0.0,136.89866666666666,0.29948919798660184,0.2273972602739726
2020-04-23,7.9,12.8,2.9,1.6,0.0,172.70666666666668,0.38154601848314523,0.3506849315068493
2020-04-24,9.9,14.3,4.1,1.8,0.0,194.35466666666667,0.43115409629003665,0.3917808219178082
2020-04-25,13.1,17.1,9.9,3.3,0.0,209.11733333333333,0.4649838965781558,0.4684931506849315
2020-04-26,12.3,19.0,6.8,0.8,0.0,220.26666666666668,0.4905334621498007,0.5205479452054794
2020-04-27,12.9,18.3,8.7,3.4,0.0,205.73066666666668,0.45722308617968915,0.5013698630136987
2020-04-28,13.9,19.9,7.8,0.0,0.0,230.776,0.5146164178823652,0.5452054794520548
2020-04-29,14.9,21.0,9.3,0.4,0.0,236.872,0.5285858765996052,0.5753424657534246
2020-04-30,17.1,23.4,9.3,5.3,0.0,258.33866666666665,0.5777784149520906,0.6410958904109588
2020-05-01,20.2,26.2,16.4,6.6,0.0,248.664,0.5556081628846599,0.7178082191780821
2020-05-02,20.3,23.9,18.0,9.0,0.0,236.02133333333333,0.5266365076884942,0.6547945205479452
2020-05-03,21.8,27.4,17.0,7.0,0.0,238.09866666666667,0.5313968787911758,0.7506849315068492
2020-05-04,20.2,25.3,14.8,3.4,0.0,249.544,0.5576247514133953,0.6931506849315069
2020-05-05,16.0,19.3,13.1,5.4,0.0,235.25066666666666,0.5248704650072684,0.5287671232876713
2020-05-06,19.4,27.6,11.1,1.8,0.0,236.16266666666667,0.5269603840279579,0.7561643835616438
2020-05-07,20.7,26.5,14.9,6.8,0.0,241.72,0.5396954461306386,0.726027397260274
2020-05-08,19.9,27.3,14.3,7.4,2.3,169.264,0.37365687972375905,0.7479452054794521
2020-05-09,14.2,16.8,12.7,10.0,24.4,20.266666666666666,0.03221788743720402,0.4602739726027397
2020-05-10,14.4,16.6,12.8,9.0,1.3,175.81866666666667,0.3886774088256732,0.4547945205479452
2020-05-11,16.5,22.0,12.4,8.1,3.4,202.77866666666668,0.45045834829693127,0.6027397260273972
2020-05-12,14.3,18.9,10.5,3.3,0.7,208.53333333333333,0.46364561509999497,0.5178082191780822
2020-05-13,16.1,21.8,10.2,0.6,0.0,237.82133333333334,0.5307613478609077,0.5972602739726027
2020-05-14,19.3,25.4,12.4,8.3,0.0,237.73066666666668,0.5305535781337046,0.695890410958904
2020-05-15,16.1,20.2,14.1,10.0,12.0,36.752,0.06999531254218098,0.5534246575342465
2020-05-16,16.7,20.3,15.0,9.5,2.5,172.13066666666666,0.3802260696279729,0.5561643835616439
2020-05-17,19.1,24.9,14.6,7.1,0.0,238.53066666666666,0.532386840432555,0.6821917808219178
2020-05-18,19.1,26.8,13.2,8.5,29.8,98.02933333333333,0.2104170937597911,0.7342465753424657
2020-05-19,13.0,17.1,10.1,7.6,19.0,148.14933333333335,0.32527097678276784,0.4684931506849315
2020-05-20,14.4,20.1,9.2,6.0,0.0,235.352,0.5251026782317895,0.5506849315068494
2020-05-21,17.4,22.9,10.9,4.8,0.0,250.48,0.5597696683030502,0.6273972602739726
2020-05-22,18.5,22.7,14.8,8.6,0.0,238.17866666666666,0.5315802050210608,0.6219178082191781
2020-05-23,20.1,25.0,16.6,7.4,0.0,270.016,0.6045379336409767,0.684931506849315
2020-05-24,17.1,20.2,14.3,8.4,14.5,214.28533333333334,0.4768267710287293,0.5534246575342465
2020-05-25,16.6,21.3,13.7,8.1,0.0,246.74933333333334,0.5512205551160779,0.5835616438356165
2020-05-26,16.2,22.9,12.7,7.8,1.5,182.66133333333335,0.40435791235517354,0.6273972602739726
2020-05-27,17.4,23.9,11.8,1.5,0.0,271.864,0.6087727695513211,0.6547945205479452
2020-05-28,18.7,23.4,14.2,3.9,0.0,266.112,0.5955916136225868,0.6410958904109588
2020-05-29,20.7,27.6,14.6,1.3,0.0,277.3306666666667,0.6213000619267988,0.7561643835616438
2020-05-30,22.6,30.0,16.5,1.1,0.0,280.45866666666666,0.6284681175153037,0.821917808219178
2020-05-31,21.2,28.0,17.6,8.5,1.0,249.45866666666666,0.5574292034348513,0.7671232876712328
2020-06-01,19.7,24.5,16.6,3.8,0.4,266.48,0.596434914280058,0.6712328767123288
2020-06-02,17.9,21.8,14.8,9.3,2.0,212.888,0.4736246728800706,0.5972602739726027
2020-06-03,22.0,28.4,17.6,5.8,0.0,277.032,0.6206156440018945,0.7780821917808218
2020-06-04,21.9,26.5,19.7,8.4,0.2,260.416,0.582538786054772,0.726027397260274
2020-06-05,23.0,28.7,18.4,5.5,0.0,286.248,0.641734825684651,0.7863013698630137
2020-06-06,24.6,30.9,19.2,2.3,0.0,280.088,0.6276187059835031,0.8465753424657534
2020-06-07,22.7,29.2,19.2,3.3,0.0,271.5946666666667,0.6081555712440415,0.7999999999999999
2020-06-08,25.0,32.0,19.8,3.0,0.0,276.21866666666665,0.6187518273313967,0.8767123287671232
2020-06-09,26.7,32.8,20.3,3.0,0.0,272.224,0.6095977375858037,0.8986301369863013
2020-06-10,25.8,32.1,22.5,9.0,6.2,155.02133333333333,0.34101869992989264,0.8794520547945206
2020-06-11,26.1,31.6,21.7,5.8,0.0,266.7493333333333,0.5970521125873376,0.8657534246575342
2020-06-12,24.7,27.6,21.6,8.1,0.0,291.2266666666667,0.65314382805783,0.7561643835616438
2020-06-13,26.9,33.5,20.6,5.5,0.0,241.056,0.5381738384225927,0.9178082191780822
2020-06-14,24.0,28.8,20.1,4.4,1.1,251.74933333333334,0.5626784444838929,0.7890410958904109
2020-06-15,23.0,28.6,18.2,6.0,0.0,288.85333333333335,0.6477051499045738,0.7835616438356164
2020-06-16,24.4,30.7,20.0,6.0,0.0,284.05066666666664,0.6366994652371419,0.8410958904109589
2020-06-17,24.3,30.3,20.2,7.4,0.0,287.2613333333333,0.6440569579298615,0.8301369863013699
2020-06-18,23.4,27.3,20.3,9.0,0.0,294.33866666666665,0.660275218400358,0.7479452054794521
2020-06-19,24.7,30.0,21.1,6.3,0.1,290.99733333333336,0.6526182928654929,0.821917808219178
2020-06-20,24.9,29.7,20.7,0.9,0.0,272.888,0.6111193452938496,0.8136986301369863
2020-06-21,26.1,32.7,19.5,0.1,0.0,254.54133333333334,0.5690765299068807,0.8958904109589042
2020-06-22,28.6,35.4,21.7,1.6,0.0,262.384,0.587048611309944,0.9698630136986301
2020-06-23,27.3,31.0,23.2,7.5,0.0,275.2373333333333,0.6165030255781402,0.8493150684931506
2020-06-24,22.3,26.3,19.9,10.0,37.6,52.68266666666667,0.10650167578662169,0.7205479452054795
2020-06-25,21.6,23.4,20.1,10.0,13.3,123.77333333333333,0.26941147453679654,0.6410958904109588
2020-06-26,21.8,25.7,19.2,8.3,2.1,256.4,0.5733358093145431,0.7041095890410959
2020-06-27,24.1,29.6,20.4,6.1,0.0,285.336,0.6396449066639617,0.810958904109589
2020-06-28,25.2,30.1,21.5,1.9,0.0,262.848,0.5881119034432772,0.8246575342465754
2020-06-29,23.8,26.5,20.6,8.6,11.9,186.808,0.41386032193754796,0.726027397260274
2020-06-30,20.1,23.1,18.4,10.0,64.7,101.56266666666667,0.21851400224638032,0.6328767123287672
2020-07-01,21.1,24.3,18.1,7.6,0.0,280.5226666666667,0.6286147784992118,0.6657534246575343
2020-07-02,24.2,29.8,20.4,6.6,0.0,287.57866666666666,0.6447841519750722,0.8164383561643835
2020-07-03,25.5,30.6,21.6,6.8,0.1,274.008,0.6136859125122401,0.8383561643835616
2020-07-04,24.2,29.5,20.4,7.6,1.6,262.63466666666665,0.5876230334969171,0.8082191780821918
2020-07-05,23.8,27.6,19.9,5.3,0.0,279.104,0.6253637933559171,0.7561643835616438
2020-07-06,25.6,30.9,21.8,7.4,0.0,284.8666666666667,0.6385693927819694,0.8465753424657534
2020-07-07,24.1,28.1,22.1,6.3,0.0,243.752,0.5443519323697186,0.7698630136986302
2020-07-08,25.5,30.4,21.3,2.9,0.0,282.336,0.6327701730432727,0.832876712328767
2020-07-09,27.5,32.9,21.8,4.8,0.0,274.208,0.6141442280869528,0.9013698630136986
2020-07-10,24.5,27.7,22.7,6.6,2.2,242.34666666666666,0.5411315015980713,0.7589041095890411
2020-07-11,25.8,30.2,22.2,7.3,0.0,276.41866666666664,0.6192101429061092,0.8273972602739725
2020-07-12,23.5,26.0,21.7,9.1,2.9,152.97866666666667,0.33633777019349465,0.7123287671232876
2020-07-13,18.7,21.7,17.7,10.0,47.6,12.957333333333333,0.015467980900040982,0.5945205479452055
2020-07-14,20.3,24.3,17.2,9.9,11.5,227.96266666666668,0.5081694454647414,0.6657534246575343
2020-07-15,23.4,28.7,18.9,5.1,0.0,285.19733333333335,0.6393271411988276,0.7863013698630137
2020-07-16,25.0,29.7,20.4,4.1,0.0,273.976,0.6136125820202861,0.8136986301369863
2020-07-17,26.0,31.6,21.5,4.5,0.0,266.53066666666666,0.5965510208923185,0.8657534246575342
2020-07-18,26.1,31.0,22.8,5.4,0.0,262.1573333333333,0.5865291869919363,0.8493150684931506
2020-07-19,24.0,26.6,20.6,9.9,29.1,162.144,0.35734084526399057,0.7287671232876712
2020-07-20,23.8,26.6,22.4,9.6,3.6,192.776,0.42753645868697193,0.7287671232876712
2020-07-21,25.0,30.5,21.4,6.3,0.0,268.8666666666667,0.6019041468049616,0.8356164383561644
2020-07-22,23.7,25.7,22.6,9.8,11.5,123.86133333333333,0.2696131333896701,0.7041095890410959
2020-07-23,21.1,22.6,18.5,10.0,103.1,28.637333333333334,0.05139992195750857,0.6191780821917808
2020-07-24,22.5,26.8,18.7,9.3,2.9,205.32,0.45628201153294595,0.7342465753424657
2020-07-25,24.3,29.0,22.3,7.8,0.0,273.328,0.6121276395582173,0.7945205479452054
2020-07-26,25.4,29.6,21.6,7.4,0.0,252.80533333333332,0.5650983507183753,0.810958904109589
2020-07-27,24.3,25.5,22.9,10.0,2.2,141.12533333333334,0.30917493379886146,0.6986301369863014
2020-07-28,24.4,26.4,22.7,9.9,0.4,181.904,0.4026224240455951,0.7232876712328766
2020-07-29,23.7,24.9,22.6,10.0,50.1,84.59733333333334,0.17963661976209314,0.6821917808219178
2020-07-30,25.3,28.4,23.4,8.3,0.1,246.58133333333333,0.5508355700333194,0.7780821917808218
2020-07-31,26.2,29.6,22.8,6.9,1.5,255.21333333333334,0.5706164702379151,0.810958904109589
2020-08-01,25.3,26.9,24.3,9.8,39.1,93.328,0.19964362231688035,0.736986301369863
2020-08-02,24.9,26.4,23.5,10.0,31.4,30.642666666666667,0.05599529945329353,0.7232876712328766
2020-08-03,25.0,26.3,23.9,10.0,102.6,46.86666666666667,0.09317385887397936,0.7205479452054795
2020-08-04,27.0,29.4,25.0,9.6,3.9,131.67466666666667,0.28751799517510884,0.8054794520547944
2020-08-05,26.5,29.1,25.5,9.8,18.5,76.66933333333333,0.16146899038048576,0.7972602739726028
2020-08-06,24.1,26.0,22.9,8.0,75.7,137.216,0.30021639203181255,0.7123287671232876
2020-08-07,24.3,26.1,22.6,9.0,0.0,208.18933333333334,0.46285731231148936,0.715068493150685
2020-08-08,24.2,26.1,22.7,9.1,19.1,106.72,0.2303324331996358,0.715068493150685
2020-08-09,24.9,25.8,23.7,9.8,50.3,33.024,0.061452310229538176,0.7068493150684931
2020-08-10,26.5,29.5,24.7,9.9,44.6,62.717333333333336,0.12949689588853502,0.8082191780821918
2020-08-11,24.6,27.3,22.4,9.5,97.0,135.93066666666667,0.2972709506049929,0.7479452054794521
2020-08-12,27.2,31.3,23.5,8.3,0.0,208.696,0.46401837843409455,0.8575342465753425
2020-08-13,28.0,30.3,26.3,8.5,0.0,211.608,0.47069145320190997,0.8301369863013699
2020-08-14,27.1,28.0,26.5,9.3,0.4,194.33333333333334,0.43110520929540064,0.7671232876712328
2020-08-15,26.1,27.0,25.0,9.3,69.0,70.04533333333333,0.14628957854600455,0.7397260273972602
2020-08-16,27.4,30.8,25.3,8.3,0.0,176.02933333333334,0.3891601678977038,0.8438356164383561
2020-08-17,28.2,32.2,26.1,4.4,0.0,195.648,0.4341178703398448,0.8821917808219178
2020-08-18,27.5,31.9,24.0,2.8,0.0,219.20533333333333,0.48810133416665913,0.873972602739726
2020-08-19,27.1,31.4,23.6,2.3,0.0,225.77333333333334,0.5031524176402209,0.8602739726027396
2020-08-20,27.7,31.7,25.0,6.4,0.0,227.78666666666666,0.5077661277589943,0.8684931506849315
2020-08-21,26.6,29.2,25.2,8.8,2.5,209.86933333333334,0.4667071631390752,0.7999999999999999
2020-08-22,24.3,27.6,21.7,9.0,42.6,107.00266666666667,0.23098018587856295,0.7561643835616438
2020-08-23,25.3,29.9,21.5,6.0,0.0,214.91733333333335,0.4782750482448211,0.8191780821917808
2020-08-24,27.8,32.0,23.7,5.9,0.0,240.792,0.5375688618639721,0.8767123287671232
2020-08-25,29.9,34.5,26.0,5.9,0.0,234.384,0.5228844308501804,0.9452054794520548
2020-08-26,30.2,34.5,27.0,6.4,0.6,107.11733333333333,0.2312429534747315,0.9452054794520548
2020-08-27,27.1,28.6,25.6,9.9,8.7,87.32,0.1858758224525139,0.7835616438356164
2020-08-28,27.3,29.7,26.0,8.9,13.6,165.45333333333335,0.3649244403069017,0.8136986301369863
2020-08-29,26.8,29.0,25.5,8.4,13.6,90.12533333333333,0.19230446224714928,0.7945205479452054
2020-08-30,26.8,30.6,24.4,7.9,42.5,141.07733333333334,0.30906493806093044,0.8383561643835616
2020-08-31,26.4,30.0,23.8,8.8,0.0,233.76533333333333,0.5214667080057361,0.821917808219178
2020-09-01,26.6,29.5,23.8,8.8,0.0,234.37866666666667,0.5228722091015215,0.8082191780821918
2020-09-02,24.3,26.4,22.6,9.6,33.3,36.650666666666666,0.06976309931765992,0.7232876712328766
2020-09-03,22.7,25.6,20.0,7.4,29.8,190.73066666666668,0.42284941807624443,0.7013698630136986
2020-09-04,23.3,27.5,19.9,1.6,0.0,306.824,0.6888863320110831,0.7534246575342466
2020-09-05,23.3,27.3,19.2,8.0,0.0,302.008,0.6778500929720036,0.7479452054794521
2020-09-06,21.7,24.4,19.5,9.4,6.4,144.33333333333334,0.3165263156172515,0.6684931506849314
2020-09-07,19.2,20.6,17.5,10.0,61.0,8.384,0.004987831424946275,0.5643835616438356
2020-09-08,23.4,26.5,20.6,5.4,0.0,278.94933333333336,0.6250093626448061,0.726027397260274
2020-09-09,21.1,25.3,19.0,7.6,1.3,201.09866666666667,0.44660849746934544,0.6931506849315069
2020-09-10,22.8,27.0,18.8,6.3,3.9,285.73333333333335,0.6405554269390573,0.7397260273972602
2020-09-11,22.4,27.1,19.2,7.6,1.2,163.93066666666667,0.36143513106475644,0.7424657534246576
2020-09-12,20.2,23.2,18.1,9.5,5.7,119.208,0.25894965768469036,0.6356164383561643
2020-09-13,21.5,26.6,16.7,2.8,0.0,317.12266666666665,0.7124865286716169,0.7287671232876712
2020-09-14,21.3,24.9,17.6,4.6,0.0,283.9066666666667,0.636369478023349,0.6821917808219178
2020-09-15,23.0,27.7,18.9,7.5,0.0,298.432,0.6696554104961425,0.7589041095890411
2020-09-16,22.5,24.9,21.3,9.4,0.3,236.65333333333334,0.5280847849045861,0.6821917808219178
2020-09-17,21.3,23.6,20.1,8.4,0.0,293.568,0.658509175719132,0.6465753424657534
2020-09-18,21.5,25.8,18.1,3.1,0.0,315.63466666666665,0.7090766607957552,0.7068493150684931
2020-09-19,21.2,26.2,17.6,1.5,0.3,313.688,0.7046157225352193,0.7178082191780821
2020-09-20,19.7,24.9,15.6,0.0,0.0,295.46133333333336,0.6628478964930781,0.6821917808219178
2020-09-21,19.1,25.3,13.6,4.5,0.0,288.984,0.6480045827467193,0.6931506849315069
2020-09-22,20.2,25.6,15.5,3.1,0.0,300.31733333333335,0.6739757986470999,0.7013698630136986
2020-09-23,19.2,23.8,15.2,7.6,0.0,296.9146666666667,0.6661783230026562,0.6520547945205479
2020-09-24,20.6,25.4,16.8,6.6,0.0,298.65066666666667,0.6701565021911615,0.695890410958904
2020-09-25,20.1,25.4,16.6,4.9,0.0,305.92,0.6868147456133821,0.695890410958904
2020-09-26,19.3,24.8,14.8,4.0,0.0,306.9626666666667,0.6892040974762171,0.6794520547945205
2020-09-27,20.4,25.8,14.9,1.1,0.0,292.29333333333335,0.6555881777896305,0.7068493150684931
2020-09-28,20.7,26.5,15.7,1.1,0.0,287.2373333333333,0.6440019600608959,0.726027397260274
2020-09-29,19.6,23.9,15.3,6.8,0.0,303.528,0.6813332913398195,0.6547945205479452
2020-09-30,19.6,25.7,16.2,7.1,38.3,191.136,0.4237782709743286,0.7041095890410959
2020-10-01,18.8,23.6,15.6,5.5,0.0,218.93066666666667,0.48747191411072055,0.6465753424657534
2020-10-02,19.2,21.9,16.3,9.1,0.0,200.73333333333332,0.4457713076862037,0.6
